::ffff:127.0.0.1 - - [10/Feb/2026:10:22:08 +0000] "GET /health HTTP/1.1" 200 25 "-" "curl/7.81.0"
::1 - - [12/Feb/2026:12:25:57 +0000] "POST /api/auth/register HTTP/1.1" 400 89 "-" "PostmanRuntime/7.33.0"
::1 - - [12/Feb/2026:12:26:35 +0000] "POST /api/auth/register HTTP/1.1" 400 89 "-" "PostmanRuntime/7.33.0"
::1 - - [12/Feb/2026:12:26:40 +0000] "POST /api/auth/register HTTP/1.1" 400 89 "-" "PostmanRuntime/7.33.0"
::1 - - [12/Feb/2026:12:26:40 +0000] "POST /api/auth/register HTTP/1.1" 400 89 "-" "PostmanRuntime/7.33.0"
::1 - - [12/Feb/2026:12:26:51 +0000] "POST /api/auth/register HTTP/1.1" 400 89 "-" "PostmanRuntime/7.33.0"
::1 - - [12/Feb/2026:12:27:27 +0000] "POST /api/auth/register HTTP/1.1" 400 89 "-" "PostmanRuntime/7.33.0"
::1 - - [12/Feb/2026:12:27:28 +0000] "POST /api/auth/register HTTP/1.1" 400 89 "-" "PostmanRuntime/7.33.0"
::1 - - [12/Feb/2026:12:27:38 +0000] "POST /api/auth/register HTTP/1.1" 400 89 "-" "PostmanRuntime/7.33.0"
::1 - - [12/Feb/2026:12:27:44 +0000] "POST /api/auth/register HTTP/1.1" 400 89 "-" "PostmanRuntime/7.33.0"
::1 - - [12/Feb/2026:12:27:45 +0000] "POST /api/auth/register HTTP/1.1" 400 89 "-" "PostmanRuntime/7.33.0"
::1 - - [12/Feb/2026:12:28:03 +0000] "POST /api/auth/register HTTP/1.1" 201 28 "-" "PostmanRuntime/7.33.0"
::1 - - [12/Feb/2026:12:28:10 +0000] "POST /api/auth/register HTTP/1.1" 400 94 "-" "PostmanRuntime/7.33.0"
